#{"t_start": 1744093429.7673395, "env_id": "None"}
r,l,t
-260.0,2,72.753512
-260.0,2,72.766278
-260.0,2,72.771172
-260.0,2,72.772014
-300.0,4,72.779583
-260.0,2,72.790528
-260.0,2,72.791725
-260.0,2,72.798302
-280.0,3,72.800885
-260.0,2,73.633067
-260.0,2,73.635301
-260.0,2,73.640882
-260.0,2,73.642742
-260.0,2,73.654757
-260.0,2,73.655035
-300.0,4,73.662614
-260.0,2,73.667797
-260.0,2,73.676978
-280.0,3,73.681909
-280.0,3,74.597397
-260.0,2,74.598452
-300.0,4,74.610231
-260.0,2,74.617855
-260.0,2,74.618307
-260.0,2,74.623341
-260.0,2,74.629612
-260.0,2,74.636266
-280.0,3,74.641475
-260.0,2,74.642989
-260.0,2,75.631432
-260.0,2,75.636935
-260.0,2,75.642252
-280.0,3,75.64447
-280.0,3,75.658755
-260.0,2,75.665065
-260.0,2,75.667462
-260.0,2,75.671944
-260.0,2,75.679754
-260.0,2,75.686764
-280.0,3,76.59439
-260.0,2,76.59439
-260.0,2,76.606977
-260.0,2,76.612099
-260.0,2,76.613947
-280.0,3,76.621756
-280.0,3,76.632693
-260.0,2,76.635552
-260.0,2,76.639796
-260.0,2,76.641777
-260.0,2,77.519053
-260.0,2,77.523523
-260.0,2,77.528859
-260.0,2,77.530695
-260.0,2,77.540564
-260.0,2,77.541265
-260.0,2,77.547306
-260.0,2,77.55035
-260.0,2,77.560106
-260.0,2,77.561165
-260.0,2,78.455548
-260.0,2,78.46307
-260.0,2,78.474731
-260.0,2,78.475895
-260.0,2,78.481003
-260.0,2,78.4841
-260.0,2,78.491676
-260.0,2,78.493762
-260.0,2,78.499079
-260.0,2,78.501236
-260.0,2,79.290029
-260.0,2,79.292072
-260.0,2,79.299996
-260.0,2,79.299996
-300.0,4,79.310908
-300.0,4,79.317407
-260.0,2,79.322501
-260.0,2,79.324515
-260.0,2,79.336061
-260.0,2,79.337482
-280.0,3,80.401249
-260.0,2,80.408042
-260.0,2,80.415093
-260.0,2,80.421691
-260.0,2,80.422787
-300.0,4,80.427932
-260.0,2,80.44107
-260.0,2,80.443602
-260.0,2,80.450042
-260.0,2,80.452179
-260.0,2,81.272824
-260.0,2,81.280046
-280.0,3,81.285488
-260.0,2,81.288851
-260.0,2,81.300758
-280.0,3,81.30662
-260.0,2,81.30864
-280.0,3,81.313646
-260.0,2,81.322481
-260.0,2,81.326294
-260.0,2,82.339287
-260.0,2,82.343697
-260.0,2,82.351821
-260.0,2,82.355821
-260.0,2,82.356819
-260.0,2,82.36282
-280.0,3,82.374609
-260.0,2,82.375878
-280.0,3,82.38029
-260.0,2,82.382631
-260.0,2,83.150855
-260.0,2,83.152939
-280.0,3,83.159733
-260.0,2,83.164764
-260.0,2,83.172068
-280.0,3,83.176931
-260.0,2,83.178708
-260.0,2,83.18567
-260.0,2,83.189893
-280.0,3,83.195924
-280.0,3,83.9749
-280.0,3,83.979642
-260.0,2,83.98816
-260.0,2,83.993152
-260.0,2,83.995073
-260.0,2,83.9999
-260.0,2,84.006144
-260.0,2,84.010815
-260.0,2,84.011822
-260.0,2,84.016069
-360.0,7,84.874706
-260.0,2,84.881967
-260.0,2,84.882476
-300.0,4,84.890242
-260.0,2,84.900797
-260.0,2,84.901801
-300.0,4,84.910887
-260.0,2,84.916765
-260.0,2,84.922141
-320.0,5,84.934797
-280.0,3,85.703968
-260.0,2,85.708862
-260.0,2,85.718178
-260.0,2,85.72196
-260.0,2,85.72304
-260.0,2,85.726864
-260.0,2,85.734954
-260.0,2,85.739697
-260.0,2,85.74172
-260.0,2,85.746375
-280.0,3,86.55015
-260.0,2,86.551584
-260.0,2,86.555449
-280.0,3,86.558826
-280.0,3,86.570231
-300.0,4,86.577635
-260.0,2,86.58438
-260.0,2,86.585814
-260.0,2,86.594745
-260.0,2,86.596786
-300.0,4,87.425267
-260.0,2,87.432958
-280.0,3,87.439379
-280.0,3,87.444665
-280.0,3,87.452483
-300.0,4,87.457547
-260.0,2,87.46583
-300.0,4,87.47303
-260.0,2,87.478147
-260.0,2,87.479268
-280.0,3,88.388716
-260.0,2,88.395744
-280.0,3,88.398858
-260.0,2,88.406321
-260.0,2,88.414263
-300.0,4,88.422499
-260.0,2,88.427305
-260.0,2,88.429273
-260.0,2,88.435637
-260.0,2,88.44382
-260.0,2,89.289291
-260.0,2,89.290855
-280.0,3,89.300885
-260.0,2,89.306656
-260.0,2,89.307837
-280.0,3,89.313116
-260.0,2,89.32108
-260.0,2,89.322231
-260.0,2,89.328502
-260.0,2,89.335111
-260.0,2,90.365108
-280.0,3,90.369354
-260.0,2,90.375194
-280.0,3,90.377273
-260.0,2,90.386603
-260.0,2,90.387647
-300.0,4,90.393105
-260.0,2,90.398939
-260.0,2,90.404261
-300.0,4,90.410436
-260.0,2,91.164404
-260.0,2,91.165531
-280.0,3,91.176011
-280.0,3,91.181066
-260.0,2,91.184758
-260.0,2,91.189845
-300.0,4,91.201579
-260.0,2,91.202527
-260.0,2,91.205152
-280.0,3,91.210065
-280.0,3,92.056035
-260.0,2,92.061516
-260.0,2,92.06253
-280.0,3,92.070601
-280.0,3,92.08274
-280.0,3,92.085793
-260.0,2,92.091967
-260.0,2,92.099147
-260.0,2,92.108972
-260.0,2,92.120122
-280.0,3,92.985996
-260.0,2,92.993276
-280.0,3,93.006968
-260.0,2,93.009331
-260.0,2,93.01699
-260.0,2,93.019281
-260.0,2,93.030995
-280.0,3,93.033572
-260.0,2,93.03557
-260.0,2,93.039088
-260.0,2,93.923518
-260.0,2,93.926563
-300.0,4,93.935586
-260.0,2,93.941571
-260.0,2,93.950363
-300.0,4,93.957896
-280.0,3,93.963036
-280.0,3,93.973671
-260.0,2,93.981008
-280.0,3,93.990162
-260.0,2,95.063819
-260.0,2,95.065303
-280.0,3,95.077561
-260.0,2,95.078572
-300.0,4,95.087404
-260.0,2,95.09223
-260.0,2,95.100129
-280.0,3,95.109562
-260.0,2,95.114593
-260.0,2,95.11902
-280.0,3,96.300921
-260.0,2,96.302847
-300.0,4,96.308924
-260.0,2,96.31677
-260.0,2,96.327324
-260.0,2,96.331104
-260.0,2,96.33851
-260.0,2,96.340574
-300.0,4,96.362134
-380.0,8,96.379297
-260.0,2,97.491206
-260.0,2,97.492922
-320.0,5,97.51015
-260.0,2,97.516153
-300.0,4,97.524754
-280.0,3,97.528655
-260.0,2,97.543923
-280.0,3,97.550548
-280.0,3,97.55645
-260.0,2,97.558564
-300.0,4,98.53506
-260.0,2,98.536662
-260.0,2,98.542189
-260.0,2,98.544051
-260.0,2,98.555544
-260.0,2,98.556589
-340.0,6,98.569113
-260.0,2,98.571565
-260.0,2,98.585812
-260.0,2,98.587299
-260.0,2,99.413588
-260.0,2,99.413588
-280.0,3,99.430743
-280.0,3,99.437118
-260.0,2,99.438777
-260.0,2,99.444407
-260.0,2,99.451382
-320.0,5,99.46243
-280.0,3,99.464594
-260.0,2,99.467042
-280.0,3,100.697007
-260.0,2,100.698579
-260.0,2,100.703231
-260.0,2,100.70763
-300.0,4,100.719471
-260.0,2,100.725506
-260.0,2,100.726606
-280.0,3,100.735214
-280.0,3,100.747353
-260.0,2,100.749815
-260.0,2,101.603215
-300.0,4,101.61185
-260.0,2,101.618421
-280.0,3,101.625636
-260.0,2,101.627538
-280.0,3,101.635392
-260.0,2,101.646148
-260.0,2,101.648151
-280.0,3,101.653473
-300.0,4,101.661562
-280.0,3,102.483071
-260.0,2,102.486154
-260.0,2,102.490645
-260.0,2,102.491653
-260.0,2,102.503402
-300.0,4,102.509318
-260.0,2,102.510328
-300.0,4,102.516145
-260.0,2,102.530081
-260.0,2,102.532411
-260.0,2,103.345001
-320.0,5,103.359205
-300.0,4,103.371595
-260.0,2,103.372617
-300.0,4,103.380026
-280.0,3,103.386695
-260.0,2,103.396788
-260.0,2,103.398737
-260.0,2,103.402754
-260.0,2,103.405932
-260.0,2,104.283061
-280.0,3,104.284659
-280.0,3,104.290622
-260.0,2,104.293495
-300.0,4,104.311942
-260.0,2,104.316925
-260.0,2,104.326812
-260.0,2,104.330344
-260.0,2,104.34302
-260.0,2,104.344646
-260.0,2,105.33801
-280.0,3,105.340981
-260.0,2,105.352173
-260.0,2,105.353316
-260.0,2,105.357478
-280.0,3,105.364247
-260.0,2,105.371797
-260.0,2,105.377093
-300.0,4,105.384423
-280.0,3,105.388103
-260.0,2,106.269146
-260.0,2,106.273494
-280.0,3,106.281278
-260.0,2,106.28637
-300.0,4,106.300812
-260.0,2,106.301444
-260.0,2,106.305865
-260.0,2,106.308
-340.0,6,106.325216
-260.0,2,106.327105
-260.0,2,107.186096
-300.0,4,107.199157
-300.0,4,107.210228
-280.0,3,107.213369
-260.0,2,107.219163
-260.0,2,107.220201
-260.0,2,107.231017
-280.0,3,107.239091
-300.0,4,107.245456
-260.0,2,107.247645
-260.0,2,108.08084
-280.0,3,108.0834
-300.0,4,108.090504
-260.0,2,108.095368
-260.0,2,108.105413
-300.0,4,108.112245
-260.0,2,108.11742
-260.0,2,108.123452
-340.0,6,108.140498
-260.0,2,108.145439
-260.0,2,109.218933
-260.0,2,109.218933
-300.0,4,109.231355
-300.0,4,109.237455
-280.0,3,109.242409
-320.0,5,109.247447
-280.0,3,109.25899
-360.0,7,109.270262
-260.0,2,109.271269
-260.0,2,109.276908
-380.0,8,110.113896
-300.0,4,110.122398
-260.0,2,110.124405
-260.0,2,110.128349
-260.0,2,110.136115
-260.0,2,110.141741
-280.0,3,110.148972
-280.0,3,110.15098
-260.0,2,110.161258
-340.0,6,110.171411
-260.0,2,110.945897
-300.0,4,110.951346
-340.0,6,110.967942
-360.0,7,110.97764
-260.0,2,110.983984
-260.0,2,110.984985
-260.0,2,110.996012
-260.0,2,110.997468
-260.0,2,111.002977
-320.0,5,111.011112
-320.0,5,111.798674
-300.0,4,111.804272
-260.0,2,111.810044
-260.0,2,111.811461
-260.0,2,111.822594
-300.0,4,111.82709
-280.0,3,111.830511
