# reward,episode_length,on_time,off_time
-3.042123985290527344e+01,2.500000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-7.329521179199218750e+01,3.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-9.381021118164062500e+01,3.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.081033172607421875e+02,5.800000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.603769683837890625e+01,4.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-5.946338272094726562e+01,1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
2.040369110107421875e+02,2.700000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.310177612304687500e+01,2.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.600487136840820312e+01,4.500000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-4.757201766967773438e+01,2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.709558486938476562e+01,3.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.384233093261718750e+01,4.900000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-1.081033172607421875e+02,3.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.505624198913574219e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-5.946338272094726562e+01,4.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-5.029798126220703125e+01,3.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.391028213500976562e+01,2.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.310177612304687500e+01,1.800000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.627037620544433594e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.445376873016357422e+00,2.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-4.037472534179687500e+01,2.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-5.029798126220703125e+01,3.000000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.096387481689453125e+01,3.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.970710754394531250e+01,2.200000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-1.541536521911621094e+01,3.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-9.381021118164062500e+01,2.700000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-7.363312530517578125e+01,3.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-3.433201217651367188e+01,2.400000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.099522590637207031e+01,1.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.629626989364624023e+00,2.200000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.755101394653320312e+01,2.000000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-5.027023315429687500e+01,3.700000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
2.000977630615234375e+02,4.400000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.755101394653320312e+01,2.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.396551322937011719e+01,2.100000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.676345825195312500e+01,2.900000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.456360578536987305e+00,2.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
1.945956420898437500e+02,4.300000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-5.962709045410156250e+01,2.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-5.962709045410156250e+01,2.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
2.172103576660156250e+02,3.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-9.521585845947265625e+01,2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.391028213500976562e+01,1.800000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-2.244640922546386719e+01,2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-8.771839904785156250e+01,2.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
